amfi_code,alpha,beta
100016,0.035008020122776796,0.004843355020744264
100025,0.04333049544115674,-0.0034221767263396346
100033,0.26875229141391044,0.02409659525974328
101206,0.21465600456186984,-6.730818908692391e-05
101207,0.11024955018619279,-0.02358822885898298
101208,0.06085212112251844,0.00012587504716301363
102885,0.17094095164685527,-0.007555188223630707
102886,0.03194911544827528,-0.030680122817594857
102887,0.16106251568117863,0.011217405044515622
118632,0.2157852505239689,0.01615659515806825
118633,0.15755299358545502,-0.01608648663914648
118634,0.17568123177332165,0.01801235144289967
118635,0.15065271641931977,0.0047839346917738605
118636,0.051060743722708336,-0.0019685309804787507
119092,0.06701143712338227,0.016382992455286165
119093,0.08091817265695568,0.01583015501459122
119094,0.2627316899588547,-0.028728622961125532
119095,0.04875277581131942,-0.020067492788233516
119120,0.05606050670324881,-0.0003508255447426253
119551,0.23454374664870614,-0.025189498642974633
119552,0.20047597382446736,-0.018618719456253627
119598,0.303144867465332,-0.0035080093727523575
119599,0.049328065524053666,0.010072663601756614
120503,0.1755417235928387,0.0018104631368765268
120504,0.21609064980413412,-0.026139233988137504
120505,0.29508521272984833,-0.01745379302502904
120506,0.1600230125795732,0.027298914610087533
120507,0.06751273831066396,-0.00046135564097556954
120841,0.13270798966179026,-0.008324367260956683
120842,0.080481558797897,-0.013501034947778528
120843,0.27321125754709386,-0.004369886433639482
120844,0.0646054190026635,-0.00043750586414993285
125497,0.1776220377104348,0.008449617960571604
125498,0.11764356212760835,0.01812498906781678
148567,0.2691067256955176,0.010472156175636847
148568,0.20841945067406478,-0.00359652367980826
148569,0.2808029988427154,0.017641274616014262
149322,0.13307516786532644,-0.010532478260407641
149323,0.26573261554511396,0.0012594990971762044
149324,0.2958210599599487,0.03666692667132804
